Payment_ID,Payment_Date,Month,Student_ID,Subject,Level,Tutor,Payment_Method,Course_Fee,Discount,Amount_Paid,Payment_Status,Student_Status,Year,Quarter,Month_Name,Week,Day
PAY01001,11/24/2025,November,STU0115,IELTS,Advanced,Sarah,Cash,500000,0,500000,Paid,Active,2025,4,November,48,Monday
PAY01002,10/30/2025,October,STU0120,English,Advanced,Linda,Cash,500000,0,500000,Paid,Active,2025,4,October,44,Thursday
PAY01003,4/23/2025,April,STU0004,IELTS,Advanced,John,Bank Transfer,5000000,50000,4950000,Unpaid,Inactive,2025,2,April,17,Wednesday
PAY01004,4/21/2025,April,STU0184,Grammar,Advanced,David,Unknown,500000,0,500000,Paid,Active,2025,2,April,17,Monday
PAY01005,10/2/2025,October,STU0425,Grammar,Advanced,Linda,Cash,750000,0,750000,Paid,Active,2025,4,October,40,Thursday
PAY01006,12/5/2025,December,STU0444,Math,Intermediate,David,Bank Transfer,700000,0,700000,Paid,Active,2025,4,December,49,Friday
PAY01007,3/25/2025,March,STU0360,Math,Advanced,Michael,E-Wallet,700000,25000,675000,Paid,Inactive,2025,1,March,13,Tuesday
PAY01008,3/25/2025,March,STU0328,TOEFL,Advanced,Emily,Unknown,750000,50000,700000,Paid,Inactive,2025,1,March,13,Tuesday
PAY01009,1/17/2025,January,STU0468,Grammar,Beginner,John,Bank Transfer,750000,50000,700000,Paid,Active,2025,1,January,3,Friday
PAY01010,3/15/2025,March,STU0276,Speaking,Advanced,Unknown,Bank Transfer,650000,25000,625000,Paid,Active,2025,1,March,11,Saturday
PAY01011,7/5/2025,July,STU0387,English,Beginner,Michael,Cash,650000,-50000,700000,Paid,Active,2025,3,July,27,Saturday
PAY01012,11/2/2025,November,STU0240,Speaking,Advanced,John,Cash,750000,100000,650000,Paid,Active,2025,4,November,44,Sunday
PAY01013,12/16/2025,December,STU0081,English,Beginner,David,E-Wallet,700000,0,700000,Paid,Active,2025,4,December,51,Tuesday
PAY01014,11/17/2025,November,STU0192,IELTS,Advanced,Sarah,Cash,5000000,-50000,5050000,Paid,Active,2025,4,November,47,Monday
