Payment_ID,Payment_Date,Month,Student_ID,Subject,Level,Tutor,Payment_Method,Course_Fee,Discount,Amount_Paid,Payment_Status,Student_Status
PAY01001,2025-11-24,November,STU0115,IELTS,Advanced,Sarah, Cash ,500000,,,paid,Active
PAY01002,2025/10/30,October,STU0120,English,Advanced,Linda, Cash ,500000,0,500000,paid,Actve
PAY01003,2025/04/23,April,STU0004,IELTS,Advanced,Jhon,Bank Transfer,5000000,50000,4950000,Unpaid,Inactive
PAY01004,"Apr 21, 2025",April,STU0184,Grammar,Advanced,David,,500000,0,500000,Paid,Actve
PAY01005,2025-10-02,October,STU0425,Grammar,Advanced,Linda, Cash ,750000,0,750000,Paid,Active
PAY01006,05/12/2025,December,STU0444,Math,Intermediate,David,transfer,700000,0,700000,paid,active
PAY01007,"Mar 25, 2025",March,STU0360,Math,Advanced,Michael,E-Wallet,700000,25000,675000,paid,Inactive
PAY01008,2025/03/25,March,STU0328,TOEFL,Advanced,Emily,,750000,50000,700000,Paid,Inactive
PAY01009,"Jan 17, 2025",January,STU0468,Grammar,Beginner, john ,transfer,750000,50000,700000,paid,Actve
PAY01010,"Mar 15, 2025",March,STU0276,Speaking,Advanced,,transfer,650000,25000,625000,paid,Actve
PAY01011,05/07/2025,July,STU0387,English,Beginner,Michael, Cash ,650000,-50000,700000,Paid,Actve
PAY01012,2025-11-02,November,STU0240,Speaking,Advanced,John, Cash ,750000,100000,650000,paid,Active
PAY01013,"Dec 16, 2025",December,STU0081,ENG,Beginner,David,E-Wallet,700000,0,700000,Paid,Active
PAY01014,"Nov 17, 2025",November,STU0192,IELTS,Advanced,SARAH,Cash,5000000,-50000,5050000,paid,active
PAY01015,2025-09-08,September,STU0426,Speaking,Beginner,John,Transfer,500000,50000,450000,paid,Active
PAY01016,2025/02/13,February,STU0066,ENG,Advanced,Michael,Bank Transfer,500000,-50000,550000,paid,Actve
PAY01017,19/04/2025,April,STU0333,Grammar,Intermediate,SARAH,transfer,700000,100000,600000,Paid,Inactive
PAY01018,2025-04-26,April,STU0118,TOEFL,Beginner,Sarah, Cash ,700000,0,700000,paid,Active
PAY01019,2025-04-28,April,STU0122,Speaking,Advanced, john ,Transfer,500000,50000,450000,paid,Inactive
PAY01020,2025/10/20,October,STU0098,Math,Beginner,Jhon,Bank Transfer,650000,100000,550000,Unpaid,Actve
PAY01021,2025-08-28,August,STU0174,Math,Beginner,Linda,Transfer,500000,0,500000,paid,Actve
PAY01022,2025/03/13,March,STU0448,Math,Intermediate,SARAH,Cash,650000,50000,600000,Paid,Active
PAY01023,17/02/2025,February,STU0110,english,Beginner,Michael,transfer,650000,100000,550000,Paid,Actve
PAY01024,2025/05/16,May,STU0375,ENG,Beginner,Linda,Bank Transfer,700000,100000,600000,Paid,Active
PAY01025,2025-10-24,October,STU0245,IELTS,Beginner,SARAH,Cash,700000,0,700000,Paid,Active
PAY01026,2025-11-01,November,STU0456,TOEFL,Advanced,,Cash,650000,100000,550000,paid,Active
PAY01027,"Aug 03, 2025",August,STU0161,TOEFL,Intermediate,Jhon,Transfer,700000,25000,675000,paid,active
PAY01028,"Aug 23, 2025",August,STU0289,Math,Beginner,SARAH,Transfer,500000,0,500000,paid,active
PAY01029,"Mar 09, 2025",March,STU0081,ENG,Advanced,David,E-Wallet,500000,25000,475000,paid,Active
PAY01030,"Dec 08, 2025",December,STU0456,Math,Advanced,SARAH,Transfer,500000,25000,475000,Unpaid,active
PAY01031,06/11/2025,November,STU0437,Speaking,Advanced, john ,Bank Transfer,700000,25000,675000,Paid,Active
PAY01032,2025/11/21,November,STU0395,IELTS,Advanced,David,Transfer,700000,0,-700000,paid,Actve
PAY01033,2025/10/10,October,STU0484,IELTS,Advanced,John,,5000000,0,5000000,Unpaid,Inactive
PAY01034,09/08/2025,August,STU0478,English,Intermediate,Linda, Cash ,500000,50000,450000,Paid,Active
PAY01035,2025/07/01,July,STU0477,TOEFL,Beginner,Michael,transfer,5000000,,,Paid,Inactive
PAY01036,2025/06/20,June,STU0360,Math,Intermediate,John,,650000,50000,600000,Unpaid,Inactive
PAY01037,2025/04/13,April,STU0447,TOEFL,Beginner,John, Cash ,700000,50000,650000,Paid,Actve
PAY01038,"Jun 18, 2025",June,STU0261,english,Advanced,SARAH,Bank Transfer,500000,50000,450000,Paid,Active
PAY01039,14/05/2025,May,STU0306,english,Intermediate,Emily,transfer,5000000,50000,4950000,paid,Active
PAY01040,17/07/2025,July,STU0001,TOEFL,Intermediate,Jhon,Cash,700000,0,700000,paid,active
PAY01041,"Nov 16, 2025",November,STU0260,Speaking,Advanced,Jhon,Bank Transfer,500000,,,Unpaid,active
PAY01042,11/10/2025,October,STU0195,IELTS,Advanced,,Bank Transfer,650000,100000,550000,Unpaid,Active
